Country,Region,2015,2016,2017
Switzerland,Western Europe,82081.59712,80037.50304,80333.44494
Iceland,Western Europe,52428.59576,61757.94931,71314.7742
Denmark,Western Europe,53254.85059,54467.10143,57218.85196
Norway,Western Europe,74521.56993,70941.52527,75704.2487
Canada,North America,43495.05439,42279.90082,45069.92725
Finland,Western Europe,42494.65662,43493.41934,45804.65421
Netherlands,Western Europe,45175.23189,46007.85292,48482.76621
Sweden,Western Europe,50832.55271,51617.54035,53253.47664
New Zealand,Australia and New Zealand,38559.54704,40026.8522,42260.12518
Australia,Australia and New Zealand,56748.42026,50019.96777,54093.60219
Israel,Middle East and Northern Africa,35855.27504,37371.62691,40543.58417
Costa Rica,Latin America and Caribbean,11299.13618,11666.45661,11752.5436
Austria,Western Europe,44176.67174,45103.32981,47380.82964
Mexico,Latin America and Caribbean,9605.952351,8739.142471,9281.101483
United States,North America,56803.47243,57904.20196,59927.92983
Brazil,Latin America and Caribbean,8814.000987,8712.887044,9880.946543
Luxembourg,Western Europe,100428.368,101305.5277,104498.7387
Ireland,Western Europe,61908.79453,63558.69793,68941.80665
Belgium,Western Europe,40441.05204,41449.09736,43507.2382
United Arab Emirates,Middle East and Northern Africa,38663.38381,38141.84676,40325.382
United Kingdom,Western Europe,44472.1517,40539.91961,39932.06029
Oman,Middle East and Northern Africa,16150.88726,#N/A,#N/A
Venezuela,Latin America and Caribbean,#N/A,#N/A,#N/A
Singapore,Southeastern Asia,55646.61875,56724.17039,60297.79378
Panama,Latin America and Caribbean,13630.30797,14356.32405,15166.12443
Germany,Western Europe,41394.65816,42443.46507,44681.08258
Chile,Latin America and Caribbean,13574.1715,13748.0884,15037.35011
Qatar,Middle East and Northern Africa,63039.01655,57163.06099,61264.39648
France,Western Europe,36613.37522,36962.22229,38679.12715
Argentina,Latin America and Caribbean,13789.06042,12790.24247,14591.86338
Czech Republic,Central and Eastern Europe,17715.61685,18463.38658,20379.89604
Uruguay,Latin America and Caribbean,15613.76427,15387.14403,16437.24487
Colombia,Latin America and Caribbean,6175.87603,5871.223524,6375.932063
Thailand,Southeastern Asia,5840.046948,5978.611454,6578.188865
Saudi Arabia,Middle East and Northern Africa,20627.93278,19879.29753,20803.74257
Spain,Western Europe,25817.38661,26622.29914,28208.26105
Malta,Western Europe,24046.27535,25128.93738,27241.09064
Taiwan,Eastern Asia,#N/A,#N/A,#N/A
Kuwait,Middle East and Northern Africa,29869.52939,27653.1644,29474.54143
Suriname,Latin America and Caribbean,8561.974179,5606.712075,#N/A
Trinidad and Tobago,Latin America and Caribbean,18332.49031,15786.12052,16076.08204
El Salvador,Latin America and Caribbean,3705.577946,3800.122181,3902.237622
Guatemala,Latin America and Caribbean,3923.573344,4140.590064,4470.610798
Uzbekistan,Central and Eastern Europe,2615.025134,2567.799418,1826.56704
Slovakia,Central and Eastern Europe,#N/A,#N/A,#N/A
