Country,Region,2015,2016,2017
Switzerland,Western Europe,82.89756098,83.60243902,83.60243902
Iceland,Western Europe,82.46829268,82.20487805,82.20487805
Denmark,Western Europe,80.70243902,80.85365854,81.00487805
Norway,Western Europe,82.30487805,82.40731707,82.5097561
Canada,North America,81.9,82.3005122,82.4704878
Finland,Western Europe,81.4804878,81.42926829,81.42926829
Netherlands,Western Europe,81.5097561,81.56097561,81.56097561
Sweden,Western Europe,82.20487805,82.30731707,82.30731707
New Zealand,Australia and New Zealand,81.45682927,81.61243902,81.65853659
Australia,Australia and New Zealand,82.4,82.44878049,82.49756098
Israel,Middle East and Northern Africa,82.05121951,82.40731707,82.60243902
Costa Rica,Latin America and Caribbean,79.634,79.831,80.03
Austria,Western Europe,81.1902439,81.64146341,81.64146341
Mexico,Latin America and Caribbean,76.933,77.118,77.305
United States,North America,78.6902439,78.53902439,78.53902439
Brazil,Latin America and Caribbean,75.284,75.509,75.723
Luxembourg,Western Europe,82.29268293,82.68536585,82.68536585
Ireland,Western Europe,81.45365854,81.70487805,81.95609756
Belgium,Western Europe,80.99268293,81.43902439,81.43902439
United Arab Emirates,Middle East and Northern Africa,77.101,77.256,77.412
United Kingdom,Western Europe,80.95609756,81.15609756,81.15609756
Oman,Middle East and Northern Africa,76.801,#N/A,#N/A
Venezuela,Latin America and Caribbean,#N/A,#N/A,#N/A
Singapore,Southeastern Asia,82.74390244,82.84634146,82.89512195
Panama,Latin America and Caribbean,77.806,78.001,78.195
Germany,Western Europe,80.64146341,80.9902439,80.9902439
Chile,Latin America and Caribbean,79.315,79.522,79.732
Qatar,Middle East and Northern Africa,78.036,78.184,78.331
France,Western Europe,82.32195122,82.52439024,82.52439024
Argentina,Latin America and Caribbean,76.415,76.577,76.738
Czech Republic,Central and Eastern Europe,78.57804878,79.02682927,79.47560976
Uruguay,Latin America and Caribbean,77.341,77.493,77.645
Colombia,Latin America and Caribbean,74.2,74.381,74.562
Thailand,Southeastern Asia,75.103,75.303,75.498
Saudi Arabia,Middle East and Northern Africa,74.4,74.561,74.72
Spain,Western Europe,82.83170732,83.32926829,83.32926829
Malta,Western Europe,81.89756098,82.45365854,82.45365854
Taiwan,Eastern Asia,#N/A,#N/A,#N/A
Kuwait,Middle East and Northern Africa,74.577,74.694,74.811
Suriname,Latin America and Caribbean,71.279,71.405,#N/A
Trinidad and Tobago,Latin America and Caribbean,70.556,70.673,70.783
El Salvador,Latin America and Caribbean,73.267,73.512,73.75
Guatemala,Latin America and Caribbean,73.15,73.409,73.654
Uzbekistan,Central and Eastern Europe,71.192,71.314,71.42
Slovakia,Central and Eastern Europe,#N/A,#N/A,#N/A
Japan,Eastern Asia,83.79390244,83.98487805,84.0997561
South Korea,Eastern Asia,#N/A,#N/A,#N/A
Ecuador,Latin America and Caribbean,76.102,76.327,76.551
Bahrain,Middle East and Northern Africa,76.761,76.9,77.038
Italy,Western Europe,82.54390244,83.24390244,83.24390244
Bolivia,Latin America and Caribbean,68.756,69.125,69.473
Moldova,Central and Eastern Europe,71.468,71.61,71.718
Paraguay,Latin America and Caribbean,73.023,73.12,73.211
Kazakhstan,Central and Eastern Europe,72,72.3,72.95
Slovenia,Central and Eastern Europe,80.77560976,81.17560976,81.17560976
Lithuania,Central and Eastern Europe,74.32195122,74.67073171,74.67073171
Nicaragua,Latin America and Caribbean,75.149,75.404,75.653
Peru,Latin America and Caribbean,74.747,74.983,75.22
Belarus,Central and Eastern Europe,73.62439024,73.82682927,74.12926829
Poland,Central and Eastern Europe,77.45121951,77.85121951,77.85121951
Malaysia,Southeastern Asia,75.143,75.3,75.452
Croatia,Central and Eastern Europe,77.27560976,78.02195122,77.82682927
Libya,Middle East and Northern Africa,71.776,71.934,72.11
Russia,Central and Eastern Europe,#N/A,#N/A,#N/A
Jamaica,Latin America and Caribbean,75.836,75.97,76.097
North Cyprus,Western Europe,#N/A,#N/A,#N/A
Cyprus,Western Europe,80.344,80.508,80.67
Algeria,Middle East and Northern Africa,75.86,76.078,76.293
Kosovo,Central and Eastern Europe,71.34634146,71.64634146,71.94634146
Turkmenistan,Central and Eastern Europe,67.704,67.835,67.956
Mauritius,Sub-Saharan Africa,74.35317073,74.39487805,74.51463415
Hong Kong,Eastern Asia,#N/A,#N/A,#N/A
Estonia,Central and Eastern Europe,77.5902439,77.64146341,77.64146341
Indonesia,Southeastern Asia,69.025,69.191,69.355
Vietnam,Southeastern Asia,76.052,76.253,76.454
Turkey,Middle East and Northern Africa,75.498,75.755,76.009
Kyrgyzstan,Central and Eastern Europe,#N/A,#N/A,#N/A
Nigeria,Sub-Saharan Africa,52.985,53.428,53.875
Bhutan,Southern Asia,69.817,70.197,70.565
Azerbaijan,Central and Eastern Europe,71.921,72.026,72.123
Pakistan,Southern Asia,66.322,66.481,66.629
Jordan,Middle East and Northern Africa,74.182,74.329,74.476
Montenegro,Central and Eastern Europe,76.938,77.116,77.271
China,Eastern Asia,76.092,76.252,76.41
Zambia,Sub-Saharan Africa,61.397,61.874,62.255
Romania,Central and Eastern Europe,75.01219512,75.3097561,75.3097561
Serbia,Central and Eastern Europe,75.28780488,75.68780488,76.08780488
